Malware_Types_List,Blacklist_Type_Text,Address_IP,Domain_Name
,,192.185.86.238,newhorizonsnigeria.com
,,192.185.142.146,newlinesolutions.cl
,,182.50.129.72,nilvala.com
,,69.194.234.84,ninjaeducator.com
,,185.2.4.29,notificaperconfirmatuodatinline.com
,,192.163.221.134,nouralmaarefschool.com
,,192.185.216.122,novaorionmetais.com.br
,,108.179.192.192,nusadua.com.br
,,166.62.118.179,nyhookeduptowing.com
,,178.159.242.67,obnovochka.by
,,108.167.172.175,olivegreenclothing.com
,,70.40.202.133,oneroofnyc.com
,,184.168.221.36,onlinefileshares.com
,,221.121.153.135,optimalstormwater.com.au
,,192.185.225.61,orestesdiaz.info
,,192.185.108.212,orionreynolds.com
,,192.185.108.212,ourweeklypokergame.com
,,79.170.44.135,pacnews.co.uk
,,187.45.180.235,pakopedras.com.br
,,92.242.132.15,particuliers-creditagricole.info
,,185.2.4.21,pasticceriacapello.com
,,131.100.50.4,paulopedott.com
,,185.28.20.238,payapalsecrty.besaba.com
,,92.242.132.15,paypal-help.safety-verified.ga
,,87.121.52.156,paypalhelp.unbefugterkontozugriff.com
,,104.27.172.126,paypal.kundenbereich-2016.cf
,,92.242.132.15,paypallex.lassmannschoon.de
,,192.185.177.60,paypal.startievv.com.br
,,217.149.52.10,paypal-verification.tuhannentahden.com
,,160.153.60.36,performanceoutdooradvertising.com
,,92.242.132.15,perm4pplecli1.com
,,74.124.200.237,petalshop.lk
,,67.222.12.107,phillipsrealtyllc.com
,,79.170.44.125,phlebotomytrainingdirect.com
,,159.8.9.42,photos.dubaimoon.com
,,192.99.18.100,picovate.com
,,119.81.131.166,pinoytravelagent.com
,,192.185.216.122,pipastornado.com.br
,,69.167.172.32,plazatile.mx
,,67.222.12.107,pleasurepress.com
,,192.185.216.122,plenenge.com.br
,,5.9.94.34,plsnasiri.ir
,,50.116.112.168,poliseg.com.br
,,50.63.202.33,pommierorangebrigitte.org
,,62.149.128.154,ponziinvestigazioni.com
,,37.58.85.56,powerboilers.com.ng
,,212.48.78.154,powerprotein.es
,,166.62.28.94,powerxpinfo.com
,,166.62.28.137,prashanthidrug.com
,,199.79.62.190,presidencyinstitutions.org
,,198.143.100.22,primestuffs.com
,,74.220.215.207,procerv.org
,,192.185.108.212,profesorzdm.com
,,192.185.108.212,protagfilms.com
,,62.210.16.62,protect-elect.fr
,,131.100.50.4,provetbh.com
,,209.188.24.242,purplot.com
,,68.171.217.250,purtglobal.com
,,,pyotours.com
,,209.188.24.242,qodsa.com
,,209.188.24.242,quiklean.com
,,209.188.24.242,quochoc.net
,,192.185.108.212,quotetherapy.com
,,85.128.135.13,quoteyourmove.co.uk
,,192.185.244.176,racetracktycoon.com
,,192.185.189.211,radiojehona.al
,,104.166.72.18,radioprosa.com.br
,,184.95.45.219,raidmykloset.com
,,201.175.20.195,ramadaacapulco.com
,,72.10.48.48,ran-ashkenzi.co.il
,,50.116.112.159,ranchoper.com.br
,,159.100.184.131,ravintolisawiki.fi
,,201.175.20.195,realgf.mx
,,173.236.44.34,recouvrement-orange.fr
,,182.160.154.164,recycle.com.au
,,209.35.52.138,reelwineguy.com
,,192.185.108.212,reserveyourpokertable.com
,,192.185.218.132,residencialbrown.com
,,92.242.132.15,resolv-payment.com
,,192.185.216.61,restaurantefigueiredo.com.br
,,50.87.104.150,restaurantesaopedro.net
,,122.154.18.92,ridmidscale.com
,,192.185.118.4,riverfront.com.bo
,,109.228.4.170,robinmay.co.uk
,,46.41.144.115,rodziceirzyk.pl
,,192.185.216.125,rogerpaulino.com.br
